"OreDict Key","ItemStacks"
"",""
"",""
"*",""
"IFWITHER",""
"TIER10",""
"TIER3",""
"TIER4",""
"TIER5",""
"TIER6",""
"actuator","[nuclearcraft:part@9 - 'Linear Actuator' - <no NBT>]"
"allFlesh","[minecraft:beef@0 - 'Raw Beef' - <no NBT>]; [minecraft:chicken@0 - 'Raw Chicken' - <no NBT>]; [minecraft:porkchop@0 - 'Raw Porkchop' - <no NBT>]; [minecraft:fish@0 - 'Raw Fish' - <no NBT>]; [minecraft:mutton@0 - 'Raw Mutton' - <no NBT>]"
"allFlowers","[minecraft:yellow_flower@0 - 'Dandelion' - <no NBT>]; [minecraft:red_flower@0 - 'Poppy' - <no NBT>]; [minecraft:red_flower@1 - 'Blue Orchid' - <no NBT>]; [minecraft:red_flower@2 - 'Allium' - <no NBT>]; [minecraft:red_flower@3 - 'Azure Bluet' - <no NBT>]; [minecraft:red_flower@4 - 'Red Tulip' - <no NBT>]; [minecraft:red_flower@5 - 'Orange Tulip' - <no NBT>]; [minecraft:red_flower@6 - 'White Tulip' - <no NBT>]; [minecraft:red_flower@7 - 'Pink Tulip' - <no NBT>]; [minecraft:red_flower@8 - 'Oxeye Daisy' - <no NBT>]; [minecraft:double_plant@0 - 'Sunflower' - <no NBT>]; [minecraft:double_plant@1 - 'Lilac' - <no NBT>]; [minecraft:double_plant@4 - 'Rose Bush' - <no NBT>]; [minecraft:double_plant@5 - 'Peony' - <no NBT>]"
"alloyAdvanced","[mekanism:enrichedalloy@0 - 'Enriched Alloy' - <no NBT>]"
"alloyBasic","[minecraft:redstone@0 - 'Redstone' - <no NBT>]"
"alloyElite","[mekanism:reinforcedalloy@0 - 'Reinforced Alloy' - <no NBT>]"
"alloyUltimate","[mekanism:atomicalloy@0 - 'Atomic Alloy' - <no NBT>]"
"arrow","[minecraft:arrow@0 - 'Arrow' - <no NBT>]; [minecraft:spectral_arrow@0 - 'Spectral Arrow' - <no NBT>]; [minecraft:tipped_arrow@0 - 'Brew-Infused Arrow' - <no NBT>]"
"ash","[teslathingies:ash@0 - 'Ash' - <no NBT>]"
"augmentedLumpAluminium","[teslathingies:augmented_aluminum@0 - 'Augmented Aluminium Lump' - <no NBT>]"
"augmentedLumpAluminum","[teslathingies:augmented_aluminum@0 - 'Augmented Aluminium Lump' - <no NBT>]"
"augmentedLumpAmber","[jaopca:item_augmentedlumpamber@0 - 'Augmented Amber Lump' - <no NBT>]"
"augmentedLumpAmethyst","[jaopca:item_augmentedlumpamethyst@0 - 'Augmented Amethyst Lump' - <no NBT>]"
"augmentedLumpApatite","[jaopca:item_augmentedlumpapatite@0 - 'Augmented Apatite Lump' - <no NBT>]"
"augmentedLumpAquamarine","[jaopca:item_augmentedlumpaquamarine@0 - 'Augmented Aquamarine Lump' - <no NBT>]"
"augmentedLumpArdite","[jaopca:item_augmentedlumpardite@0 - 'Augmented Ardite Lump' - <no NBT>]"
"augmentedLumpAstralStarmetal","[jaopca:item_augmentedlumpastralstarmetal@0 - 'Augmented Starmetal Lump' - <no NBT>]"
"augmentedLumpBauxite","[jaopca:item_augmentedlumpbauxite@0 - 'Augmented Bauxite Lump' - <no NBT>]"
