+-------+--------------------------------------------+--------------------------------------+-------------------------------------------------------------------------------------+
| Index | Name                                       | Translated Name                      | Icon Item                                                                           |
+-------+--------------------------------------------+--------------------------------------+-------------------------------------------------------------------------------------+
|     0 | buildingBlocks                             | Building Blocks                      | [minecraft:brick_block@0 - 'Bricks']                                                |
|     1 | decorations                                | Decoration Blocks                    | [minecraft:double_plant@5 - 'Peony']                                                |
|     2 | redstone                                   | Redstone                             | [minecraft:redstone@0 - 'Redstone']                                                 |
|     3 | transportation                             | Transportation                       | [minecraft:golden_rail@0 - 'Powered Rail']                                          |
|     4 | hotbar                                     | Saved Toolbars                       | [minecraft:bookshelf@0 - 'Bookshelf']                                               |
|     5 | search                                     | Search Items                         | [minecraft:compass@0 - 'Compass']                                                   |
|     6 | misc                                       | Miscellaneous                        | [minecraft:lava_bucket@0 - 'Lava Bucket']                                           |
|     7 | food                                       | Foodstuffs                           | [minecraft:apple@0 - 'Apple']                                                       |
|     8 | tools                                      | Tools                                | [minecraft:iron_axe@0 - 'Iron Axe']                                                 |
|     9 | combat                                     | Combat                               | [minecraft:golden_sword@0 - 'Golden Sword']                                         |
|    10 | brewing                                    | Brewing                              | [minecraft:potion@0 - 'Water Bottle']                                               |
|    11 | inventory                                  | Survival Inventory                   | [minecraft:chest@0 - 'Chest']                                                       |
|    12 | actuallybaubles                            | Actually Baubles                     | [actuallyadditions:item_misc@6 - 'Ring']                                            |
|    13 | actuallyadditions                          | Actually Additions                   | [actuallyadditions:item_booklet@0 - 'Actually Additions Manual']                    |
|    14 | roots                                      | Roots                                | [roots:pestle@0 - 'Pestle']                                                         |
|    15 | charset                                    | The Charset Project                  | [charset:icon@0 - 'a']                                                              |
|    16 | preston                                    | Preston                              | [preston:compressed_block@0 - 'Single Compressed Cobblestone']                      |
|    17 | thaumic_arcana                             | Thaumic Arcana                       | [thaumic_arcana:creature_enchanter@0 - 'Creature Disenchanter']                     |
|    18 | toolsAndWeapons                            | Draconic Evolution Tools & weapons   | [draconicevolution:draconic_staff_of_power@0 - 'Draconic Staff of Power']           |
|    19 | blocksAndItems                             | Draconic Evolution Blocks & Items    | [draconicevolution:chaotic_core@0 - 'Chaotic Core']                                 |
|    20 | botania_tweaks                             | Botania Tweaks                       | [botania_tweaks:compressed_tiny_potato_8@0 - 'Galactic Potato']                     |
